UE_ID,SNR,EMA_SNR,RSRP,EMA_RSRP,Noise_Power,RX_Full_Secs,RX_Frac_Secs,RSSI,RX_Gain
3,17.855621,14.256947,-21.238562,-20.105993,68.287064,140,0.909406,-0.578573,43.000000
1,27.010710,26.741142,-42.722679,-42.035736,0.061705,140,0.916406,-21.951777,43.000000
3,14.683517,14.299603,-20.193693,-20.114763,176.193832,141,0.951400,0.282698,47.000000
1,27.625393,26.829567,-37.534229,-41.585587,0.176825,141,0.958400,-16.720955,47.000000
3,14.918529,14.361496,-20.385782,-20.141865,160.812424,142,0.965401,0.355650,47.000000
1,27.197020,26.866312,-39.142361,-41.341263,0.134654,142,0.972401,-18.335932,47.000000
3,13.108240,14.236171,-21.012892,-20.228968,207.810730,143,0.991401,-0.264872,47.000000
1,25.122700,26.691952,-36.997612,-40.906898,0.355219,143,0.998401,-16.209373,47.000000
3,14.728940,14.285448,-20.302229,-20.236294,171.299316,145,0.005401,0.329887,47.000000
1,26.962646,26.719021,-38.363827,-40.652592,0.169849,145,0.012401,-17.558056,47.000000
3,14.409257,14.297829,-20.445112,-20.257175,177.500900,146,0.031401,0.159868,47.000000
1,28.053658,26.852484,-37.706520,-40.357986,0.154296,146,0.038401,-16.894148,47.000000
1,28.320488,26.999285,-38.198948,-40.142082,0.129474,148,0.092401,-17.394819,47.000000
1,27.441252,27.043482,-38.052460,-39.933121,0.163501,149,0.106402,-17.285547,47.000000
1,26.943237,27.033457,-37.777020,-39.717510,0.195820,150,0.132402,-16.990982,47.000000
