UE_ID,SNR,EMA_SNR,RSRP,EMA_RSRP,Noise_Power,RX_Full_Secs,RX_Frac_Secs,RSSI,RX_Gain
1,14.112104,1.411210,-37.089970,-3.708997,4.231922,32,0.696311,-16.233335,47.000000
1,13.185420,2.588631,-38.058758,-7.143973,4.183375,33,0.697311,-17.283579,47.000000
1,13.845930,3.714361,-37.683678,-10.197944,3.918317,34,0.698311,-16.885372,47.000000
1,15.008809,4.843806,-37.838043,-12.961954,2.927692,35,0.701311,-17.056902,47.000000
1,13.561052,5.715530,-37.754486,-15.441207,4.122568,36,0.702312,-16.965200,47.000000
1,13.846957,6.528673,-36.742123,-17.571299,4.865197,37,0.703312,-15.939119,47.000000
1,14.466248,7.322431,-36.936691,-19.507837,4.060372,38,0.706312,-16.144367,47.000000
1,13.435849,7.933773,-36.469944,-21.204048,5.682102,39,0.707312,-15.679607,47.000000
1,13.595815,8.499977,-36.934799,-22.777122,4.960028,40,0.708312,-16.166952,47.000000
1,12.694818,8.919461,-36.767185,-24.176128,6.292125,41,0.710312,-15.940649,47.000000
1,13.964766,9.423992,-37.051655,-25.463680,4.421182,42,0.723313,-16.237135,47.000000
1,13.495739,9.831167,-37.195198,-26.636831,4.746491,43,0.725313,-16.350882,47.000000
1,12.220332,10.070084,-37.395580,-27.712706,5.994340,44,0.726313,-16.569077,47.000000
1,12.178144,10.280890,-36.851757,-28.626610,6.867201,45,0.727313,-16.029741,47.000000
1,13.626864,10.615487,-36.476357,-29.411585,5.418998,46,0.730313,-15.649752,47.000000
1,12.152891,10.769228,-36.875584,-30.157986,6.831717,47,0.731313,-16.028496,47.000000
1,13.367188,11.029024,-37.333790,-30.875566,4.693905,48,0.732314,-16.520449,47.000000
1,12.341577,11.160279,-37.267574,-31.514767,6.006941,49,0.735314,-16.415277,47.000000
1,12.865887,11.330840,-37.267353,-32.090027,5.359991,50,0.723314,-16.464525,47.000000
1,12.105721,11.408328,-37.964085,-32.677433,5.422717,51,0.725314,-17.131750,47.000000
1,12.094345,11.476930,-37.130108,-33.122700,6.523076,52,0.726314,-16.279114,47.000000
1,14.748841,11.804121,-37.243931,-33.534824,3.544636,53,0.727315,-16.444231,47.000000
1,13.205803,11.944289,-37.512390,-33.932579,4.726409,54,0.728315,-16.712481,47.000000
1,12.886867,12.038547,-37.035580,-34.242878,5.624996,55,0.742315,-16.226377,47.000000
1,14.025478,12.237240,-37.159248,-34.534515,4.247157,56,0.743315,-16.335999,47.000000
1,12.502099,12.263725,-37.605213,-34.841583,5.382280,57,0.733315,-16.779783,47.000000
1,13.468691,12.384222,-36.852139,-35.042641,5.154296,58,0.735315,-16.058271,47.000000
1,12.708714,12.416671,-38.176445,-35.356022,4.485146,59,0.748316,-17.351902,47.000000
1,13.219827,12.496986,-36.718605,-35.492279,5.607448,60,0.750316,-15.943140,47.000000
1,14.428180,12.690105,-37.416199,-35.684669,3.663410,61,0.740316,-16.655548,47.000000
1,12.776810,12.698776,-37.554790,-35.871681,5.136129,62,0.741316,-16.696779,47.000000
1,13.781790,12.807077,-37.570400,-36.041553,4.092072,63,0.753316,-16.730356,47.000000
1,13.076352,12.834005,-37.271725,-36.164570,5.117216,64,0.743316,-16.467148,47.000000
1,13.207239,12.871328,-38.021980,-36.350311,4.183496,65,0.745317,-17.198814,47.000000
1,12.910249,12.875220,-37.762779,-36.491558,4.732979,66,0.746317,-16.956190,47.000000
1,12.344059,12.822104,-36.711067,-36.513508,6.844293,67,0.760317,-15.922368,47.000000
1,14.271643,12.967058,-37.666302,-36.628788,3.564865,68,0.750317,-16.849758,47.000000
1,13.607294,13.031082,-37.640583,-36.729969,4.163932,69,0.751317,-16.816116,47.000000
1,14.030825,13.131057,-37.571545,-36.814125,3.851691,70,0.765317,-16.752602,47.000000
1,13.705310,13.188482,-37.252911,-36.858002,4.449579,71,0.753318,-16.478195,47.000000
1,12.860188,13.155653,-37.454166,-36.917618,5.169254,72,0.756318,-16.625998,47.000000
1,13.767492,13.216837,-37.090160,-36.934872,4.588146,73,0.768318,-16.271952,47.000000
1,13.684951,13.263648,-38.393238,-37.080708,3.451148,74,0.770318,-17.536520,47.000000
1,12.863603,13.223643,-38.056221,-37.178261,4.470417,75,0.760318,-17.287323,47.000000
1,12.554110,13.156690,-38.415936,-37.302029,4.411664,76,0.773319,-17.585438,47.000000
1,11.859469,13.026968,-36.596634,-37.231491,7.735292,77,0.775319,-15.737354,47.000000
1,11.612385,12.885509,-38.051292,-37.313473,5.909647,78,0.776319,-17.249634,47.000000
